node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Rate,Disc Read [KB],Disc Write [MB],Disc Read [MB]
besu-1,42.49428094069444,14.790135485067967,0.03744774136491182,0.03670603946673264,0.0,0.0,0.0,0.0,0.0,110.30865786510141,,
besu-2,2.2919581875185533,1.0827652869697415,0.06164487002176257,0.06166946840482192,0.0,0.0,0.0,0.0,0.0,0.0,,
besu-3,3.50653114440278,1.3961844434028048,0.05442036996076625,0.05437422796386792,0.0,0.0,0.0,0.0,0.0,0.0,,
besu-4,1.2402530655743877,0.690808222301964,0.09552727359241447,0.09575345076462431,0.0,0.0,0.0,0.0,0.0,0.0,,
besu-5,2.811104350013828,1.1238997582821462,0.07368118258189575,0.07360253618818674,0.0,0.0,0.0,0.0,0.0,0.0,,
besu-6,1.1675013204846207,0.6018590643442476,0.08141410606686447,0.08165010716465715,0.0,0.0,0.0,0.0,0.0,0.0,,
besu-7,1.5855322975791655,0.6976692148384743,0.06526083562648177,0.06519202405202645,0.0,0.0,0.0,0.0,0.0,0.0,,
besu-8,2.127229183703533,1.0514513778582442,0.08409740384419324,0.08405976048819876,0.0,0.0,0.0,0.0,0.0,0.0,,
