node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Rate,Disc Read [KB],Disc Write [MB],Disc Read [MB]
besu-1,162.0472,58.239200000000004,2.3924000000000003,2.3884,0.0,0.0,0.0,0.0,1000.0,158.0,49.7,26.7
besu-2,5.5684000000000005,4.158399999999999,0.8785599999999999,0.8779600000000001,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
besu-3,4.4924,3.2432,0.85592,0.85516,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
besu-4,3.5188,2.7792000000000003,0.92928,0.92884,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
besu-5,5.4292,4.2344,0.8445999999999999,0.8438,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
besu-6,4.2548,3.3851999999999998,0.85744,0.8566400000000001,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
besu-7,3.4972000000000003,2.7556,0.85732,0.8565999999999999,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
besu-8,4.0004,3.2119999999999997,0.84396,0.84328,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
