node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Rate,Disc Write [MB],Disc Read [KB],Disc Read [GB]
besu-1,4.9064,3.6184000000000003,0.93824,0.92696,0.0,0.0,0.0,0.0,1000.0,26.066666666666666,136.0,
besu-2,5.7584,3.9228000000000005,0.90788,0.9029200000000001,0.0,0.0,0.0,0.0,1000.0,59.300000000000004,4.0,
besu-3,6.232,4.286,0.976,0.96396,0.0,0.0,0.0,0.0,1000.0,54.06666666666666,152.0,
besu-4,6.2416,4.314,0.9188,0.9136,0.0,0.0,0.0,0.0,1000.0,54.06666666666666,140.0,
besu-5,6.5188,4.6344,1.00204,0.9946,0.0,0.0,0.0,0.0,1000.0,59.300000000000004,140.0,
besu-6,7.3712,5.3912,0.9570400000000001,0.95268,0.0,0.0,0.0,0.0,1000.0,59.333333333333336,0.0,
besu-7,8.2112,5.3304,1.0151599999999998,1.0095999999999998,0.0,0.0,0.0,0.0,1000.0,54.06666666666666,0.0,
besu-8,5.8092,4.04,0.9009199999999999,0.8961199999999999,0.0,0.0,0.0,0.0,1000.0,59.333333333333336,4.0,
